valuation_id,position_id,instrument_id,valuation_date,value_usd,method,valuation_level,source,confidence_score,recorded_at
VAL-00001,POS-0001,INS-0001,2024-06-30,1859306.90,manager_mark,level_3,manager_report,0.76,2024-07-10
VAL-00002,POS-0001,INS-0001,2024-09-30,1701526.46,manager_mark,level_3,manager_report,0.78,2024-10-10
VAL-00003,POS-0001,INS-0001,2024-12-31,1752961.50,manager_mark,level_3,manager_report,0.86,2025-01-10
VAL-00004,POS-0001,INS-0001,2025-03-31,1768252.99,manager_mark,level_3,manager_report,0.75,2025-04-10
VAL-00005,POS-0001,INS-0001,2025-06-30,1932984.11,manager_mark,level_3,manager_report,0.76,2025-07-10
VAL-00006,POS-0001,INS-0001,2025-09-30,1968780.11,manager_mark,level_3,manager_report,0.83,2025-10-10
VAL-00007,POS-0001,INS-0001,2025-12-31,2062961.82,manager_mark,level_3,manager_report,0.80,2026-01-10
VAL-00008,POS-0001,INS-0001,2025-12-31,2145480.29,manager_mark,level_3,manager_report,0.87,2026-02-24
VAL-00009,POS-0001,INS-0001,2026-03-31,2119609.87,manager_mark,level_3,manager_report,0.85,2026-04-10
VAL-00010,POS-0001,INS-0001,2026-03-31,2183198.17,manager_mark,level_3,manager_report,0.95,2026-05-25
VAL-00011,POS-0002,INS-0002,2024-06-30,4662779.33,manager_mark,level_3,manager_report,0.81,2024-07-10
VAL-00012,POS-0002,INS-0002,2024-09-30,4903128.78,manager_mark,level_3,manager_report,0.80,2024-10-10
VAL-00013,POS-0002,INS-0002,2024-12-31,4999268.56,manager_mark,level_3,manager_report,0.80,2025-01-10
VAL-00014,POS-0002,INS-0002,2025-03-31,4942546.09,manager_mark,level_3,manager_report,0.84,2025-04-10
VAL-00015,POS-0002,INS-0002,2025-06-30,5347294.56,manager_mark,level_3,manager_report,0.80,2025-07-10
VAL-00016,POS-0002,INS-0002,2025-09-30,5657826.05,manager_mark,level_3,manager_report,0.75,2025-10-10
VAL-00017,POS-0002,INS-0002,2025-12-31,5276151.13,manager_mark,level_3,manager_report,0.87,2026-01-10
VAL-00018,POS-0002,INS-0002,2025-12-31,5434435.66,manager_mark,level_3,manager_report,0.87,2026-02-24
VAL-00019,POS-0002,INS-0002,2026-03-31,5425167.79,manager_mark,level_3,manager_report,0.76,2026-04-10
VAL-00020,POS-0002,INS-0002,2026-03-31,5859181.21,manager_mark,level_3,manager_report,0.91,2026-05-25
VAL-00021,POS-0003,INS-0003,2024-06-30,3451156.11,manager_mark,level_3,manager_report,0.83,2024-07-10
VAL-00022,POS-0003,INS-0003,2024-09-30,3622708.72,manager_mark,level_3,manager_report,0.86,2024-10-10
VAL-00023,POS-0003,INS-0003,2024-12-31,3624048.98,manager_mark,level_3,manager_report,0.76,2025-01-10
VAL-00024,POS-0003,INS-0003,2025-03-31,3480641.72,manager_mark,level_3,manager_report,0.85,2025-04-10
VAL-00025,POS-0003,INS-0003,2025-06-30,3510127.32,manager_mark,level_3,manager_report,0.78,2025-07-10
VAL-00026,POS-0003,INS-0003,2025-09-30,3575129.68,manager_mark,level_3,manager_report,0.88,2025-10-10
